Package,Version
affinity,0.2.5
affinitymatrix,0.1.0
affluenceIndex,2.2
afmpar,0.2.0
afmToolkit,1.0.0
afpt,1.1.0.4
AFR,0.3.9
africamonitor,0.2.4
aftables,2.0.1
aftgee,1.2.1
afthd,1.1.0
aftPenCDA,0.1.1
aftR2,0.1.0
aftsem,1.0
afttest,4.5.3
ag5Tools,0.0.3
AGBQR,0.1.0
agcounts,0.7.0
AGD,0.45.0
AgeBandDecomposition,2.0.1
ageg,1.0.0
agena.ai,1.1.2
agentr,0.2.8.4
AgePopDenom,1.2.3
AgeTopicModels,0.3.0
ageutils,0.1.2
agfh,0.2.1
agghoo,0.1-0
aggreCAT,1.1.0
AggregateR,0.1.1
aggregation,1.0.2
aggTrees,2.1.0
aggutils,1.0.2
AGHmatrix,2.1.4
aghq,0.4.1
aglm,0.4.1
agop,0.2.4
agpower,0.1.2
AGPRIS,2.0
agRee,0.5-3
AgreementInterval,0.1.1
agregR,1.0.3
agricolae,1.3-7
agricolaeplotr,1.0.0
agridat,1.26
AgriDiversiX,0.1.0
agriDQ,0.1.3
agrifeature,1.0.3
agriReg,0.1.0
agriTutorial,0.1.5
agriutilities,1.2.3
agriwater,1.0.2
agrmt,1.42.19
agrobox,0.3.0
AgroR,1.3.7
AgroReg,1.2.11
agrostab,0.1.0
AgroTech,1.0.2
ags,1.0.1
agua,0.1.4
agvgd,0.1.2
ahaz,1.15.1
AHMbook,0.2.12
ahnr,0.3.1
ahocorasick,0.2.0
AhoCorasickTrie,0.1.3
AHPGaussian,0.1.3
AHPhybrid,0.1.0
AHPtools,1.0.1
ahptopsis2n,0.2.0
AHPWR,0.1.2
AHSurv,0.1.0
ai,1.0.4.44
AIBias,0.1.1
aIc,1.0
AICcmodavg,2.3-4
AID,3.1
AIDA,0.2.0
aiDIF,0.1.0
aieconindex,0.1.1
AiES,0.99.6
aifeducation,1.1.5
AIFFtools,1.0
AIGovernance,0.1.0
AIGRA,0.1.2
aihuman,1.0.1
aimPlot,1.0.0
aimsir17,0.0.2
aion,1.7.1
AIPW,0.6.9.3
air,0.2.3
aire.zmvm,1.0.2
AirExposure,1.0
airGR,1.7.8
airGRdatasets,0.2.3
airGRdatassim,0.1.4
airGRiwrm,0.7.0
airGRteaching,0.3.5
aiRly,0.1.0
AirMonitor,0.4.3
airnow,0.1.1
AirportProblems,0.1.0
airportr,0.1.3
airports,0.1.0
airqualityES,1.0.0
airr,2.0.0
AirScreen,0.1.0
airship,1.4.3
airt,0.2.2
aiRthermo,1.2.2
AIscreenR,0.4.0
aisdk,1.4.12
aisdk.providers,0.1.0
aisoph,0.4
AIUQ,0.5.5
ajv,1.0.0
aka,0.2.0
akc,0.9.9.3
Ake,1.0.2
akiFlagger,0.3.0
akima,0.6-3.6
akin,0.3.7
akmbiclust,0.1.0
alabama,2025.1.0
alakazam,1.4.3
alarmdata,0.2.4
ALassoSurvIC,0.1.1
albatross,0.3-9
albersdown,2.0.0
aLBI,0.1.9
albopictus,0.5
alcoholSurv,0.7.2
alcyon,0.8.1
ald,1.3.1
ALDEx3,1.0.2
ALDqr,1.0
aldvmm,0.9.0
ale,0.5.3
ALFAM2,4.2.14
alfr,1.2.1
alfred,0.2.1
algaeClassify,2.0.6
AlgDesign,1.2.1.2
algebraic.dist,1.0.0
algebraic.mle,2.0.2
AlgeriAPIs,0.1.0
algo,0.1.0
algorithmia,0.3.0
alien,1.0.2
align,0.1.0
AlignLV,0.1.0.0
alkahest,1.3.0
allcontributors,0.2.3
alleHap,0.9.9
allelematch,2.6.0
AlleleRetain,2.0.2
AlleleShift,1.1-3
AllelicSeries,0.1.1.5
allestimates,0.2.3
AllMetrics,0.2.1
allMT,0.1.1
allocation,0.1.0
allofus,1.2.0
allometry,0.2.0
allomr,0.3.0
Allspice,1.0.7
ALLSPICER,0.1.9
alluvial,0.1-2
almanac,1.0.0
alone,0.7
alookr,0.5.1
aloom,0.1.1
alpaca,0.3.5
alpha.correction.bh,0.1.0
alphabetr,0.2.2
alphahull,2.5
alphaN,0.1.2
alphaOutlier,1.2.2
AlphaPart,0.9.8
alphashape3d,1.3.3
AlphaSimR,2.1.0
alphastable,0.2.1
alphavantagepf,0.8.1
alphavantager,0.1.3
alpmixBayes,0.1.0
alqrfe,1.3
alr4,1.0.7
ALS,0.0.7
ALSCPC,1.0
alsi,0.2.0
altadata,0.1.1
altair,4.2.3
altdoc,0.7.2
AlteredPQR,0.1.0
alternativeROC,1.0.4
altfuelr,0.1.0
altmeta,4.3.1
altR2,1.1.0
ALUES,0.2.1
amadeus,2.0.0
amanpg,0.3.4
amap,0.8-20
amapGeocode,1.0.0
amapro,0.1.4
AMAPVox,2.4.2
amazonadsR,0.1.0
amazons3R,0.1.0
amazonspR,0.1.0
ambient,1.0.3
ambiorix,3.0.0
ambiR,0.1.1
ambit,0.2.3
AMCP,1.0.2
AMCTestmakeR,1.0.0
AMDconfigurations,0.1.0
Amelia,1.8.3
amelie,0.2.1
amen,1.4.5
ameras,0.4.0
amerika,0.1.1
AmesHousing,0.0.4
AmigaFFH,0.4.8
AMIM,1.0.0
AMISforInfectiousDiseases,0.1.0
ammiBayes,2.1-1
AMModels,0.1.4
AmmoniaConcentration,0.1
aMNLFA,1.1.2
amorem,1.0.0
AmoudSurv,0.1.0
amp,1.0.0
amp.dm,0.2.1
amp.sim,0.1.1
ampd,0.2
AmpGram,1.0
ampir,1.1.0
AMPLE,1.0.2
AmpliconDuo,1.1.1
AMR,3.0.1
amregtest,1.1.0
amscorer,0.1.0
amsSim,0.1.0
amt,0.3.1.0
amVennDiagram5,1.0.0
AmyloGram,1.1
anabel,3.0.2
Anaconda,0.1.5
anacor,1.1-5
Analitica,2.2.0
analogsea,1.0.7.2
analogue,0.18.1
AnalyzeFMRI,1.1-26
analyzer,1.0.1
ananke,0.3.0
AnanseSeurat,1.2.0
aNCA,0.1.0
AnchorRegression,0.1.3
AncReg,1.0.1
and,0.1.8
andorR,0.3.1
andrews,1.1.2
Andromeda,1.2.1
anesrake,0.80
AnglerCreelSurveySimulation,1.0.3
angstromATE,0.1.3
angstroms,0.0.1
aniDom,0.1.5
anim.plots,0.2.3
AnimalSequences,0.2.0
animate,0.3.9.4
animation,2.8
animbook,1.0.1
animejs,0.1.0
animint2,2025.10.17
animl,3.3.0
anipaths,0.10.6
aniSNA,1.1.1
aniview,0.1.0
ankiR,0.6.0
anMC,0.2.5
ANN2,2.4.0
anndata,0.8.0
annmatrix,0.1.2
AnnoProbe,0.1.7
annotater,0.2.4
AnnotationBustR,1.3.0
annotator,0.0.3.2
anocva,0.1.1
ANOFA,0.1.3
anoint,1.5
anomalize,0.3.0
anomaly,4.3.3
anominate,0.7
anomo,1.3.2
ANOPA,0.2.3
ANOVAIREVA,0.1.0
anovapowersim,1.1.0
ANOVAShiny,0.1.0
ANOVAShiny2,0.1.0
anovir,0.1.0
anscombiser,1.1.0
ANSM5,1.1.1
AntAngioCOOL,1.2
antaresEditObject,1.0.1
antaresProcessing,0.18.3
antaresRead,3.0.1
antaresViz,0.18.3
AntClassify,0.2.2
antedep,0.2.0
anthro,1.1.0
anthroplus,1.1.0
AnthropMMD,4.1.0
Anthropometry,1.21
AntibodyForests,1.1.0
AntibodyTiters,0.1.24
anticlust,0.8.14
antitrust,0.99.30
antiword,1.3.5
AntsNet,1.0.0
AnxietySleep,0.0.1
anybadger,0.1.0
anyflights,0.3.5
anyLib,1.0.5
anytime,0.3.13
ao,1.2.3
AOboot,0.1.2
aod,1.3.3
aods3,0.6
aoos,0.5.0
aopdata,1.1.2
Aoptbdtvc,0.0.3
aoristic,1.1.1
aorsf,0.1.6
aos,0.1.0
AOUSDOHtools,1.0.4
AOV1R,0.1.0
AovBay,0.1.0
apa,0.3.5
apa7,0.1.3
apache.sedona,1.9.0
ApacheLogProcessor,0.2.3
APackOfTheClones,1.3.0
apaTables,2.0.8
apaText,0.1.7
apathe,0.1.0
apca,1.0.0
APCalign,2.0.0
APCanalysis,1.0
apcf,0.3.3
APCI,1.0.8
APCinteraction,0.1.0
apcluster,1.4.14
aPCoA,1.3
APCtools,1.0.8
apdesign,1.0.0
ape,5.8-1
apercu,0.2.5
apex,1.0.7
apexcharter,0.5.0
APFr,1.0.2
aphid,1.3.6
aphylo,0.3-6
api2lm,0.2
apifetch,0.1.0
APIS,2.0.8
apisensr,2.0.0
aplms,0.1.0
aplore3,0.9
AplosNCA,1.0.1
aplot,0.3.0
aplotExtra,0.0.4
aplpack,1.3.5
apm,0.1.1
APML0,0.11
apmx,1.1.1
apng,1.1
Apoderoides,3.0.1
apollo,0.3.8
apor,0.1.1
appeears,1.2
APPEstimation,0.1.1
appleadsR,0.1.0
applicable,0.2.1
AppliedPredictiveModeling,1.2.0
ApplyPolygenicScore,4.0.2
appnn,1.0-1
apportion,0.0.2
appraise,0.1.1
appRiori,0.0.6
approximator,1.2-8
approxmatch,2.0
approxOT,1.2
appsflyeR,0.1.0
appsheet,0.1.0
aprean3,1.0.2
aprof,0.4.1
APRScenario,0.0.3.1
APS,1.0.1
apsimx,2.8.270
apt,4.0
APTIcalc,0.1.1
apyramid,0.1.3
AQEval,0.6.11
